Martial status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Year
single,1,1,9147,daytime,1,102,PT,38,38,9,9,99.6,0,1,male,1,21,0,0,5,10,5,13.714285714285714,0,2016
single,5,2,9853,daytime,1,124,PT,19,19,3,3,113.9,0,,male,1,19,0,0,6,8,6,12.666666666666666,0,2011
single,1,4,9070,daytime,1,167,PT,1,1,7,3,158.3,0,1,male,0,18,0,0,6,6,6,15.166666666666666,0,2012
single,1,2,9773,daytime,1,150,BR,1,37,9,7,130.8,0,,male,1,20,1,0,6,9,5,11.8,0,2012
single,17,5,9085,daytime,1,118,PT,1,38,4,7,122.2,0,1,MALE,1,20,0,0,6,7,6,15.428571428571429,0,2014
singel,1,1,9130,daytime,1,127,PT,1,1,4,4,120.4,0,,male,0,18,0,0,6,9,6,15.125,0,2014
single,1,1,9238,daytime,1,126,PT,38,38,7,8,126.7,0,,male,0,19,0,0,6,11,4,12.75,0,2008
single,43,1,9130,daytime,1,140,PT,3,3,2,2,140,0,,male,0,20,0,10,17,29,14,12.5625,4,2012
single,17,1,9003,daytime,1,125,PT,3,3,2,2,100,0,1,female,0,27,0,16,18,19,18,12.22222222222222,0,2012
single,1,1,9085,daytime,1,134,PT,38,19,9,4,128.4,0,,male,1,19,0,0,5,7,5,12.5,0,2010
single,1,3,9500,daytime,1,133.1,PT,19,19,5,5,108.5,0,,male,0,,0,0,7,9,7,12.60625,0,2015
single,44,1,9670,daytime,39,110,PT,37,1,9,4,110,0,,male,1,20,0,2,6,9,6,12.125,0,2016
single,1,1,9556,daytime,1,123,PT,19,19,4,9,113.8,0,1,MALE,0,18,0,0,7,9,7,11.155555555555557,0,2011
divorced,39,1,9147,daytime,1,140,PT,37,37,9,9,142.8,0,,male,0,43,0,0,5,5,5,16.4,0,2008
single,1,1,9500,daytime,1,141,PT,19,38,5,7,125.5,0,1,male,0,18,0,0,8,10,8,12.86,2,2009
single,53,1,9085,daytime,42,150,PT,1,19,4,8,145.2,0,,male,0,20,0,7,11,13,11,14.615384615384617,0,2017
single,7,1,9991,evening,3,130,PT,3,19,2,3,133.9,0,1,male,0,28,0,0,5,7,5,13.714285714285714,0,2013
single,1,1,9238,daytime,1,168,PT,37,37,9,9,149.5,0,1,male,0,18,0,0,6,10,6,17,0,2015
single,1,2,9254,daytime,1,131,PT,4,3,7,4,126.1,0,,male,0,18,0,0,6,8,6,12.142857142857142,0,2017
single,1,1,171,daytime,1,149,PT,1,1,9,3,156,0,1,male,0,18,0,0,0,0,0,0,0,2010
single,44,1,9003,daytime,39,150,PT,19,37,6,6,150,1,1,male,1,19,0,0,6,9,6,14.333333333333334,0,2014
single,42,1,9238,daytime,1,133.1,PT,1,19,4,9,134,0,,male,0,21,0,10,13,21,11,13.272727272727272,0,2008
married,39,1,9003,daytime,1,140,PT,37,37,9,6,104.8,0,1,male,0,46,0,14,19,24,19,12.210526315789474,0,2012
single,44,1,9003,daytime,39,160,PT,37,38,9,7,160,0,,male,1,19,0,0,6,7,6,15.333333333333334,0,2012
divorced,39,1,9773,daytime,19,133.1,PT,37,37,9,1,117.5,0,1,male,0,39,0,0,6,10,4,11.25,0,2010
single,1,1,9500,daytime,1,127,PT,19,37,9,7,123.9,0,1,male,1,18,0,0,7,9,7,12.855555555555554,0,2012
single,1,3,9238,daytime,1,125,PT,19,1,9,10,123.6,0,,male,0,20,0,0,6,10,4,11,0,2009
married,39,2,9147,daytime,1,130,PT,19,37,4,7,140,0,1,female,0,34,0,0,5,10,3,11.666666666666666,1,2009
single,17,4,9500,daytime,1,140,PT,1,1,3,3,127.6,0,,male,0,23,0,0,7,7,6,13.796666666666669,0,2015
single,17,2,9773,daytime,1,133.1,PT,3,1,4,5,115,0,,male,0,19,0,0,6,6,6,12.833333333333334,0,2013
single,1,1,9500,daytime,1,136,PT,1,1,4,4,123.8,0,,mal,0,19,0,0,7,10,6,11.614285714285714,0,2014
single,17,1,9238,daytime,1,134,PT,38,19,7,7,124.2,0,,male,1,21,0,0,6,11,4,11.25,0,2012
single,1,1,9238,daytime,1,132,PT,37,37,9,5,135.9,0,1,male,0,18,0,0,6,11,5,12.4,0,2009
single,1,3,9500,daytime,1,150,PT,19,38,1,1,130.8,0,,male,0,18,0,0,8,8,7,13.614285714285714,0,2011
single,1,4,9070,daytime,1,136,PT,37,37,9,8,136.7,0,1,male,0,20,0,0,6,6,4,13.5,0,2010
single,17,1,9070,daytime,1,157,PT,3,3,3,3,146.2,0,,female,0,18,0,0,6,6,6,16,0,2015
single,1,4,9500,daytime,1,136,PT,37,37,9,9,126.3,0,1,male.,1,18,0,0,7,7,6,11.6,0,2008
single,17,1,9238,daytime,1,123,PT,1,1,9,9,115.7,0,1,male,0,21,0,0,6,8,6,12.166666666666666,0,2016
married,39,1,9500,daytime,3,130,PT,1,1,4,6,126,0,1,female,0,32,0,0,7,7,7,13.62857142857143,0,2014
single,43,2,9556,daytime,1,120,PT,1,19,4,3,110.2,0,1,male,0,27,0,0,7,9,7,12.228571428571428,0,2010
single,43,1,9500,daytime,1,140,PT,1,38,4,7,100,0,1,male,1,18,0,0,7,8,7,13.6375,0,2014
single,44,1,9085,daytime,39,160,PT,37,37,9,9,160,0,,male,0,20,0,1,6,7,6,14.166666666666666,0,2015
single,1,1,9670,daytime,1,140,PT,19,19,5,9,131.3,0,,male,1,,0,0,6,6,6,13.5,0,2010
single,17,6,9500,daytime,1,143,PT,38,1,9,10,127.3,0,1,male,0,18,0,0,7,8,7,12.217142857142855,0,2016
single,1,5,9254,daytime,1,126,PT,19,19,4,7,116.6,0,,male,0,,0,0,6,9,5,11.6,0,2014
single,1,4,9254,daytime,1,105,PT,1,19,9,6,106.1,0,,male,0,20,0,0,6,8,5,11,0,2014
single,1,5,9500,daytime,1,137,PT,38,38,4,8,126.5,0,,male,0,18,0,0,8,8,8,13.76375,0,2009
single,1,1,9670,daytime,1,123,PT,12,1,9,9,119.2,0,1,male,1,18,0,0,6,8,5,13.5,0,2015
single,39,1,8014,evening,1,133.1,PT,37,37,9,9,97,0,,male,1,35,0,0,6,8,6,10.833333333333334,0,2010
single,1,1,9085,daytime,1,138,PT,1,3,9,1,123,0,1,male,0,19,0,1,6,14,6,15.538461538461538,0,2012
single,1,1,9070,daytime,1,116,PT,1,12,5,8,110.4,0,,female ,0,19,0,0,6,6,6,11.5,0,2017
single,1,5,9500,daytime,1,130,PT,19,1,9,5,122.1,0,,male,1,19,0,0,7,8,7,11.678571428571429,0,2015
single,1,1,171,daytime,1,143,PT,12,12,4,1,155.3,0,1,MALE,0,18,0,0,0,0,0,0,0,2016
single,17,1,9238,daytime,1,131,PT,37,37,9,7,121.9,0,1,male.,1,19,0,0,6,8,6,13.75,0,2013
single,1,1,9238,daytime,1,108,PT,19,38,9,7,110.5,0,,male,1,22,0,0,6,6,6,12.166666666666666,0,2015
single,17,1,9670,daytime,1,133.1,PT,1,19,141,114,140,0,,male,0,22,0,0,6,6,6,15.166666666666666,0,2014
single,1,1,9238,daytime,1,141,PT,38,19,9,10,125.6,0,1,male,1,18,0,0,6,6,6,12.666666666666666,0,2009
,17,1,9147,daytime,1,136,PT,1,1,4,4,124.1,0,1,MALE,0,18,0,0,5,8,5,12.4,0,2017
single,1,1,9670,daytime,1,131,PT,1,1,4,9,122.3,0,,female,0,19,0,0,5,6,5,11.5,0,2009
single,1,1,9130,daytime,1,161,PT,1,19,4,4,152.3,0,,male,0,18,0,0,6,7,6,15.571428571428571,0,2016
single,1,1,9085,daytime,1,129,PT,19,37,9,9,117.5,0,1,male,0,19,0,0,5,9,5,13.6,1,2011
,1,1,9085,daytime,1,142,PT,1,1,9,9,127.7,0,,femaLe,0,19,0,0,5,9,5,12.6,1,2011
facto union,43,1,9991,evening,3,130,PT,3,3,1,1,130,0,,male,0,41,0,5,10,14,10,14.636363636363637,0,2013
married,39,1,9991,evening,1,120,PT,38,38,1,4,138.7,0,,femaLe,0,43,0,0,5,5,5,13.8,0,2010
single,39,1,9670,daytime,1,133.1,PT,1,19,4,9,140,0,,female,1,25,0,0,6,8,6,12.285714285714286,0,2012
single,1,1,171,daytime,1,141,PT,1,38,4,8,136.8,0,,male,1,18,0,0,0,0,0,0,0,2014
single,1,1,9147,daytime,1,127,PT,1,19,5,7,130.5,0,,male,1,21,0,0,5,6,5,12.8,1,2009
single,1,1,9238,daytime,1,135,PT,19,38,3,9,136.1,0,,male,1,18,0,0,6,6,6,14,0,2015
singel,1,1,9500,daytime,1,132,PT,38,37,9,7,122,0,,male,1,20,0,0,8,8,7,13.817142857142857,0,2010
single,44,1,171,daytime,39,150,PT,4,4,2,2,150,0,1,female,0,25,0,0,0,0,0,0,0,2012
single,43,4,9500,daytime,6,134,PT,37,37,9,9,129.8,0,,male,0,20,0,0,7,7,6,14.85,0,2008
single,17,1,9773,daytime,1,161,PT,1,19,4,7,148.4,0,,male,1,19,0,0,6,6,6,13.833333333333334,0,2012
singel,44,1,8014,evening,39,120,PT,19,37,7,6,121.8,0,1,male,0,22,0,3,6,6,6,12.5,0,2015
single,1,4,9238,daytime,1,134,PT,38,19,7,7,128.4,0,,male,1,18,0,0,6,6,6,12.5,0,2010
single,1,6,9500,daytime,1,134,PT,38,38,9,9,122,0,,female,0,19,0,0,8,8,7,12.2,0,2011
single,16,2,9085,daytime,1,136,PT,37,37,9,9,123.4,0,,male,1,19,0,0,5,8,5,13.166666666666666,2,2009
single,44,1,8014,evening,39,150,PT,1,37,9,7,146.7,0,,male,1,21,0,3,6,6,6,14.666666666666666,0,2015
single,1,6,9500,daytime,1,118,PT,38,38,5,5,114.2,0,,male,0,20,0,0,7,9,6,13.683333333333332,0,2016
single,1,4,9500,daytime,1,140,PT,19,19,7,7,129.5,0,,male,0,18,0,0,8,8,7,12.324285714285711,0,2010
,1,6,9500,daytime,1,122,PT,19,37,3,5,116.6,1,,female,1,20,0,0,7,7,7,13.314285714285717,0,2015
single,43,1,9070,daytime,1,114,PT,19,38,9,7,135.9,0,,female ,0,26,0,9,14,14,14,14,0,2012
single,17,1,9147,daytime,1,131,PT,1,37,3,7,120.2,0,1,male,0,19,0,0,5,10,5,13.285714285714286,0,2011
single,17,1,9119,daytime,1,148,PT,1,38,4,5,148.7,0,1,female,0,18,0,0,5,6,5,16.2,0,2017
single,17,4,9773,daytime,1,134,PT,1,1,3,3,120.4,0,1,male,1,18,0,0,6,6,6,12.333333333333334,0,2013
married,43,1,9670,daytime,1,100,PT,34,34,0,0,128.2,0,,female,0,32,0,6,10,12,10,11.4,0,2008
single,42,1,9085,daytime,39,150,PT,1,1,4,7,150,0,,MALE,0,26,0,11,18,45,18,11.833333333333334,10,2012
single,17,5,9853,daytime,1,141,PT,3,19,2,7,130.9,0,1,male,0,18,0,0,6,7,6,13.5,0,2008
single,39,1,8014,evening,40,140,PT,19,37,5,9,148,0,1,male,0,37,0,7,11,11,11,13.727272727272728,0,2015
single,1,1,9147,daytime,1,131,PT,38,19,9,9,130,0,,female ,0,19,0,0,5,5,5,12.8,0,2010
single,1,1,9238,daytime,1,150,PT,19,37,5,4,142.7,0,1,male,1,18,0,0,6,6,6,14.666666666666666,0,2009
single,17,3,9500,daytime,1,138,PT,,19,7,8,129.3,0,1,male,1,18,0,0,7,8,6,13.271666666666668,0,2015
single,39,1,9991,evening,1,150,PT,1,37,4,6,120,0,1,female,0,25,0,0,5,6,4,10.5,0,2009
single,1,5,9500,daytime,1,142,PT,38,37,5,7,128.8,0,1,male,0,18,0,0,7,7,6,14.233333333333334,0,2008
single,16,2,9500,daytime,1,127,PT,2,38,4,9,119,0,1,male,1,19,0,0,8,12,7,12.599999999999998,0,2010
single,1,3,9556,daytime,1,132,PT,38,37,7,7,119,0,1,male,0,19,0,0,7,9,7,11.677777777777775,0,2011
single,1,2,9238,daytime,1,129,PT,38,1,4,10,129.4,0,1,male,0,18,0,0,6,7,6,12.333333333333334,0,2009
married,39,1,9003,daytime,1,133.1,PT,37,37,8,7,150,0,1,female,0,31,0,0,6,10,6,15,0,2014
single,1,1,9773,daytime,1,121,PT,1,38,4,9,114.4,0,,male,1,18,0,0,6,6,6,12.666666666666666,0,2016
single,17,1,9500,daytime,1,147,PT,1,1,5,5,134.9,0,,male,0,18,0,0,7,7,7,13.642857142857142,0,2013
singel,17,1,9070,daytime,1,135,PT,19,37,5,9,145.9,0,1,male,1,18,0,0,6,6,6,12.666666666666666,0,2013
single,1,2,9238,daytime,1,134,PT,1,19,4,5,126,0,1,MALE,0,18,0,0,6,10,4,11,0,2010
single,43,1,9991,evening,1,150,PT,3,3,4,4,100,0,,female,0,24,0,0,5,10,4,11.5,0,2014
single,1,1,9238,daytime,1,116,PT,38,38,9,6,116.4,0,,male,0,18,0,0,6,6,6,13.166666666666666,0,2017
single,18,3,9500,daytime,1,131,PT,19,1,4,7,127.5,0,1,male,0,18,0,0,7,7,7,13.457142857142856,0,2014
single,1,1,9085,daytime,1,127,PT,37,2,9,4,123.2,0,,male,1,18,0,0,6,7,6,15.714285714285714,0,2007
single,53,1,9003,daytime,42,150,PT,1,38,8,8,150,0,1,male,1,23,0,7,12,14,12,14.384615384615383,0,2017
single,1,2,9500,daytime,1,149,PT,19,38,9,9,126.5,0,1,male,0,18,0,0,8,8,7,12.914285714285713,0,2011
single,17,1,9500,daytime,1,150,PT,37,37,9,9,130.3,0,,male,1,19,0,0,8,8,7,15.114285714285714,0,2011
single,1,1,9773,daytime,1,136,PT,19,19,4,3,126.2,0,,male,0,19,0,0,6,6,6,13.166666666666666,0,2013
single,1,1,9238,daytime,1,126,PT,3,1,5,5,125.7,0,,male,1,18,0,0,6,6,6,11.333333333333334,0,2012
married,39,2,9670,daytime,1,100,PT,37,37,9,9,110,0,,female,1,36,0,0,5,5,5,11.4,0,2009
single,1,1,9500,daytime,1,148,PT,19,38,9,8,134.8,0,,female,0,18,0,0,7,7,6,13.35,0,2008
single,1,3,9773,daytime,1,145,PT,38,38,9,5,133.1,0,,male,1,20,0,0,6,9,4,13,0,2010
single,17,2,9670,daytime,1,110,PT,3,3,4,10,115.6,0,1,female,0,21,0,0,6,10,6,11.875,0,2016
single,44,1,9003,daytime,39,140,PT,2,1,4,6,140,0,,female,0,21,0,0,6,12,5,12.142857142857142,0,2014
single,1,1,9670,daytime,1,154,PT,1,1,5,7,154.7,0,1,male,1,18,0,0,5,6,5,11.8,0,2009
single,1,3,9500,daytime,1,140,PT,19,37,9,9,125.5,0,,male,1,19,0,0,8,8,7,14.232857142857142,0,2010
single,1,4,9500,daytime,1,147,PT,1,1,4,9,124.5,0,,male,1,19,0,0,8,11,7,12.86,0,2010
,39,1,9070,daytime,1,130,PT,1,1,5,3,112,0,,female,1,24,0,0,6,6,6,15,0,2012
single,43,1,9500,daytime,1,157,PT,38,3,5,2,141.4,0,,mal,0,21,0,3,7,8,7,13.3875,0,2014
single,17,1,9070,daytime,1,118,PT,38,19,9,3,111,0,1,male,0,21,0,0,6,6,6,12.5,0,2008
single,1,1,9130,daytime,1,140,PT,4,3,3,3,127.8,0,,female,0,18,0,0,6,7,6,14.285714285714286,0,2016
single,1,1,9130,daytime,1,133,PT,1,37,9,9,123.2,0,,male,1,19,0,0,6,8,6,13.333333333333334,0,2017
single,43,1,9003,daytime,1,130,PT,1,2,4,2,130,0,,female,0,28,0,9,18,36,17,13.058823529411764,1,2012
single,39,1,9556,daytime,1,140,PT,37,37,9,8,105,0,1,male,1,36,0,0,7,11,6,12.35,0,2017
married,7,1,9670,daytime,3,110,PT,37,37,7,7,110,0,1,male,0,32,0,4,11,15,8,13.6,0,2014
single,39,1,9556,daytime,1,133.1,PT,38,19,9,6,100,0,1,male,1,25,0,0,7,11,5,12.58,0,2017
single,1,1,9500,daytime,1,139,PT,19,37,9,9,131.5,0,,MALE,0,18,0,0,8,8,7,14.13714285714286,0,2010
single,1,1,171,daytime,1,136,PT,37,19,5,8,129,0,,FEM,1,19,0,0,0,0,0,0,0,2014
married,43,1,9991,evening,3,130,PT,37,37,9,9,130,0,,male,0,41,0,5,10,11,10,14.3,0,2011
single,1,1,9070,daytime,1,140,PT,19,19,5,5,131.3,0,,female,1,22,0,1,6,6,6,12.666666666666666,0,2015
single,1,1,9670,daytime,1,146,PT,1,1,9,8,149.5,0,,female,1,17,0,0,6,8,6,14.875,0,2016
single,18,1,9556,daytime,1,133.1,PT,3,19,2,8,106,0,,female,0,21,0,0,7,8,7,12.375,0,2017
singel,1,3,171,daytime,1,155,PT,4,3,1,1,144.2,0,,female,0,19,0,0,0,0,0,0,0,2011
,1,1,9085,daytime,1,126,PT,1,1,9,9,127.4,0,,male,0,19,0,0,6,13,6,15.23076923076923,0,2012
single,17,1,9254,daytime,1,125,PT,1,19,4,7,116.6,0,,female,1,19,0,0,6,8,5,12.666666666666666,0,2013
single,17,1,9085,daytime,1,120,PT,2,3,2,2,116.1,0,,male,0,20,0,0,5,12,3,11.666666666666666,2,2009
single,1,1,9500,daytime,1,141,PT,37,38,6,6,125.6,0,1,male,1,22,0,0,7,9,6,13.081666666666669,0,2016
married,39,1,8014,evening,1,146,PT,37,37,9,8,120.5,0,1,male,0,44,0,0,6,6,6,14.833333333333334,0,2010
single,1,1,171,daytime,1,169,PT,19,37,9,7,176,0,,male,1,18,0,0,0,0,0,0,0,2015
single,1,1,9500,daytime,1,128,PT,3,1,2,1,127.8,0,,male,1,19,0,0,7,8,7,14.4125,0,2014
single,17,4,9085,daytime,1,123,PT,19,19,4,10,124.4,0,,male,0,19,0,0,6,14,6,15.666666666666666,0,2012
single,51,1,9670,daytime,1,140,PT,12,5,3,3,126.6,0,,female ,0,19,0,2,6,7,6,14.428571428571429,0,2016
single,43,1,9070,daytime,1,130,PT,37,37,9,9,129,0,,male,0,25,0,0,6,6,6,13.5,0,2009
single,1,1,9238,daytime,1,133.1,PT,1,1,3,3,102,0,,male,1,20,0,0,6,7,6,13.666666666666666,0,2016
single,44,1,9085,daytime,39,150,PT,3,3,2,2,150,0,,male,0,22,0,2,6,7,6,14.428571428571429,0,2014
single,1,1,171,daytime,1,156,PT,19,38,9,1,153.6,0,1,male,0,18,0,0,0,0,0,0,0,2009
single,44,1,9238,daytime,39,140,PT,38,37,7,7,143,0,,male,0,19,0,3,6,6,6,13.333333333333334,0,2014
single,17,2,9254,daytime,1,128,PT,38,38,9,9,129.1,0,,male,0,18,0,0,6,6,6,12.666666666666666,0,2016
single,1,1,9070,daytime,1,150,PT,37,37,9,6,131.1,0,1,male,1,19,0,0,6,7,5,13.4,0,2012
single,1,1,9500,daytime,1,143,PT,3,3,2,2,129,0,,female,0,18,0,0,8,8,7,13.105714285714283,0,2010
single,1,1,9130,daytime,1,125,PT,3,3,2,2,132.4,0,,female,0,20,0,0,5,7,4,11.75,0,2008
single,1,1,9254,daytime,1,144,PT,19,19,9,9,142.6,0,1,male,1,18,0,0,6,7,6,14.166666666666666,0,2012
single,17,1,9773,daytime,1,121,PT,38,38,9,8,120.4,0,1,male,1,18,0,0,6,6,6,12.833333333333334,0,2012
married,7,1,9147,daytime,3,130,PT,1,4,3,10,130,0,1,male.,0,45,0,0,5,6,5,11,0,2015
single,17,1,9238,daytime,1,153,PT,38,38,7,7,159.7,0,,male,1,18,0,0,6,7,6,15.142857142857142,0,2011
married,39,1,9991,evening,1,160,PT,1,1,194,131,128.4,0,,male,0,34,0,0,5,12,5,10.4,0,2015
single,17,6,9670,daytime,1,125,PT,38,1,9,7,125,0,,F,0,20,0,0,6,8,4,14.25,0,2010
single,1,3,9147,daytime,1,128,PT,3,3,5,10,116.5,0,,female,0,20,0,0,5,7,5,11.6,0,2015
single,42,1,9500,daytime,1,122,PT,,3,2,2,122,0,,male,0,20,0,0,8,11,6,12.491666666666667,0,2011
married,39,1,9991,evening,3,140,PT,19,19,9,7,152.4,0,,male,0,26,0,0,5,5,5,12,0,2010
single,7,1,9500,daytime,3,130,PT,37,38,7,7,130,0,,male,0,27,0,0,8,8,8,12.8875,0,2009
single,1,1,9238,daytime,1,154,PT,38,37,9,9,140.4,0,,male,1,22,0,0,6,6,5,12.6,0,2010
single,17,2,9500,daytime,1,129,PT,38,19,5,7,124,0,,male,1,18,0,0,8,8,7,14.312857142857142,0,2010
single,17,2,9238,daytime,1,133,PT,37,37,9,4,123.6,0,,male,1,19,0,0,6,7,6,14.142857142857142,0,2014
