Martial status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Debtor,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Year,Target
single,39,1,9500,daytime,1.0,133.1,PT,1.0,1,4,10,100.8,0,female,0,24.0,0,0,7,18,0,0.0,0,2014,Dropout
single,44,1,9003,daytime,39.0,120.0,PT,1.0,19,4,7,120.0,0,female,0,23.0,0,1,6,6,1,11.0,0,2012,Dropout
single,15,1,9085,daytime,1.0,133.1,BR,37.0,37,9,9,109.6,0,male,0,18.0,1,0,6,13,4,12.25,0,2016,Dropout
single,17,2,9119,daytime,1.0,135.0,PT,12.0,19,5,5,121.0,0,female,0,19.0,0,0,5,0,0,0.0,0,2015,Dropout
married,1,1,9147,daytime,1.0,151.0,PT,38.0,37,9,8,132.1,0,male,0,34.0,0,0,5,7,2,10.0,0,2008,Dropout
single,44,1,9070,daytime,39.0,100.0,PT,1.0,1,4,4,106.0,0,female,0,21.0,0,2,7,7,5,11.8,0,2015,Dropout
single,17,1,9085,daytime,1.0,130.0,PT,19.0,1,9,4,101.3,0,female,0,20.0,0,0,6,12,4,12.8,0,2015,Dropout
single,17,5,9254,daytime,1.0,113.0,PT,1.0,1,2,3,110.2,0,female,0,21.0,0,0,6,10,4,11.5,0,2009,Dropout
single,17,5,9500,daytime,1.0,148.0,PT,1.0,19,4,8,130.2,0,male,0,19.0,0,0,7,0,0,0.0,0,2015,Dropout
single,1,1,9070,daytime,1.0,133.1,PT,1.0,37,5,9,143.0,1,male,0,21.0,0,0,6,9,5,11.4,0,2011,Dropout
single,1,1,9085,daytime,1.0,123.0,PT,1.0,1,4,9,116.7,0,female,1,20.0,0,0,6,10,4,13.2,0,2015,Dropout
single,1,4,9773,daytime,1.0,124.0,PT,19.0,37,99,90,124.0,0,male,0,18.0,0,0,4,4,0,0.0,0,2011,Dropout
single,51,1,33,daytime,1.0,130.0,PT,19.0,19,9,9,117.7,0,male,0,34.0,0,10,12,12,10,12.0,0,2016,Dropout
single,43,1,9991,evening,1.0,100.0,PT,37.0,19,9,4,130.0,0,female,0,40.0,0,1,5,6,4,10.25,0,2012,Dropout
single,42,1,9119,daytime,1.0,120.0,PT,1.0,1,5,7,108.6,0,female,0,34.0,0,2,7,13,5,12.0,0,2012,Dropout
single,1,1,9130,daytime,1.0,164.0,PT,34.0,1,0,0,163.0,0,male,0,18.0,0,0,6,0,0,0.0,0,2008,Dropout
single,1,1,9238,daytime,1.0,127.0,PT,2.0,2,3,4,115.8,0,female,0,19.0,0,0,6,11,3,12.0,0,2016,Dropout
single,43,1,9119,daytime,1.0,140.0,PT,37.0,38,5,7,146.5,0,female,0,39.0,0,0,5,10,3,17.333333333333332,0,2014,Dropout
single,1,1,171,daytime,1.0,114.0,PT,3.0,29,3,5,111.9,0,female,0,18.0,0,0,0,0,0,0.0,0,2009,Dropout
single,1,1,9773,daytime,1.0,108.0,PT,34.0,38,0,3,105.9,0,female,0,20.0,0,0,6,11,4,10.75,0,2008,Dropout
married,7,1,9147,daytime,3.0,140.0,PT,37.0,37,9,9,140.0,0,male,0,23.0,0,0,5,0,0,0.0,0,2008,Dropout
single,18,3,9147,daytime,1.0,133.1,PT,1.0,38,4,7,101.0,0,female,0,23.0,0,0,5,0,0,0.0,0,2017,Dropout
married,39,1,9991,evening,1.0,148.0,PT,19.0,37,9,5,130.9,0,female,0,28.0,0,0,5,5,0,0.0,0,2015,Dropout
single,17,1,9254,daytime,1.0,133.1,PT,1.0,1,4,5,131.0,0,male,0,21.0,0,0,6,12,3,11.0,0,2009,Dropout
single,1,5,9773,daytime,1.0,131.0,PT,1.0,38,9,5,132.4,1,female,0,18.0,0,0,6,6,0,0.0,0,2016,Dropout
single,44,1,9130,daytime,39.0,150.0,PT,3.0,1,2,8,150.0,0,female,0,22.0,0,0,5,5,0,0.0,0,2011,Dropout
single,44,1,171,daytime,39.0,110.0,PT,1.0,1,1,7,114.2,0,female,0,20.0,0,0,0,0,0,0.0,0,2015,Dropout
single,39,1,8014,evening,1.0,133.1,PT,34.0,5,0,1,118.5,0,male,0,31.0,0,0,6,12,0,0.0,0,2008,Dropout
single,17,1,9670,daytime,1.0,132.0,PT,38.0,37,9,9,122.9,0,female,0,20.0,0,0,6,6,6,11.5,0,2010,Dropout
single,42,1,9119,daytime,1.0,120.0,PT,3.0,1,2,9,108.2,0,female,0,26.0,0,4,10,14,4,11.25,0,2008,Dropout
single,1,4,171,daytime,1.0,139.0,PT,37.0,38,9,9,127.8,0,male,0,19.0,0,0,0,0,0,0.0,0,2010,Dropout
single,17,1,9070,daytime,1.0,119.0,PT,38.0,19,9,9,115.2,0,female,1,21.0,0,0,6,8,4,11.5,0,2012,Dropout
single,39,1,9003,daytime,1.0,140.0,PT,37.0,37,9,4,140.0,0,female,0,35.0,0,0,6,16,4,12.0,0,2014,Dropout
married,42,1,9147,daytime,1.0,133.1,PT,37.0,37,9,9,115.8,0,f,0,49.0,0,0,5,5,0,0.0,0,2010,Dropout
married,39,1,9991,evening,1.0,133.1,PT,37.0,37,6,3,140.0,1,female,0,37.0,0,0,5,10,4,10.75,0,2009,Dropout
single,17,3,9853,daytime,1.0,140.0,PT,38.0,38,5,7,126.7,0,male,0,19.0,0,0,6,9,5,12.4,0,2010,Dropout
single,17,1,9130,daytime,1.0,125.0,PT,19.0,19,3,10,131.0,0,female,0,19.0,0,0,5,11,2,10.5,2,2010,Dropout
married,7,1,8014,evening,3.0,130.0,PT,35.0,35,90,90,140.0,0,male,0,59.0,0,10,15,22,12,13.333333333333334,0,2010,Dropout
married,43,1,9991,evening,1.0,150.0,PT,38.0,19,3,3,120.1,0,male,0,39.0,0,11,15,15,12,11.916666666666666,0,2010,Dropout
married,43,1,8014,evening,1.0,130.0,PT,34.0,34,0,0,130.0,0,male,0,45.0,0,10,12,12,9,12.444444444444445,3,2009,Dropout
single,44,1,9130,daytime,39.0,130.0,PT,1.0,3,9,2,130.0,1,male,1,21.0,0,1,6,13,3,12.333333333333334,0,2014,Dropout
single,1,2,9991,evening,1.0,143.0,PT,5.0,1,4,4,131.5,0,female,0,19.0,0,0,5,11,4,11.0,0,2012,Dropout
single,42,1,9119,daytime,1.0,130.0,PT,19.0,37,9,3,135.0,1,female,0,25.0,0,0,5,5,0,0.0,0,2014,Dropout
single,1,2,9670,daytime,1.0,122.0,PT,1.0,1,9,9,116.1,0,female,1,18.0,0,0,5,6,4,12.25,0,2009,Dropout
single,18,3,9070,daytime,1.0,131.0,PT,1.0,37,5,5,122.3,0,male,0,19.0,0,0,6,6,6,12.166666666666666,0,2012,Dropout
single,17,1,171,daytime,1.0,136.0,PT,38.0,38,7,7,127.3,0,male,0,19.0,0,0,0,0,0,0.0,0,2012,Dropout
legally separated,39,2,9147,daytime,1.0,133.1,PT,37.0,37,9,9,110.0,0,male,0,47.0,0,0,5,0,0,0.0,0,2009,Dropout
single,39,1,9991,evening,1.0,150.0,PT,19.0,37,9,7,150.0,0,male,0,27.0,0,0,5,0,0,0.0,0,2012,Dropout
married,1,1,9147,daytime,1.0,133.1,PT,34.0,34,0,0,131.8,0,male,0,24.0,0,14,15,17,14,11.357142857142858,0,2008,Dropout
single,39,1,9991,evening,1.0,150.0,PT,19.0,38,9,8,140.9,0,male,0,24.0,0,0,5,7,3,10.666666666666666,0,2010,Dropout
single,1,1,171,daytime,1.0,122.0,PT,37.0,37,9,3,115.7,0,male,0,20.0,0,0,0,0,0,0.0,0,2009,Dropout
single,43,1,9991,evening,1.0,141.0,PT,37.0,37,9,9,131.9,0,male,0,21.0,0,6,10,20,6,11.5,0,2009,Dropout
single,1,1,9147,daytime,1.0,140.0,PT,19.0,19,7,3,120.0,0,female,0,21.0,0,0,5,8,3,10.0,0,2011,Dropout
single,17,2,9085,daytime,1.0,133.1,PT,19.0,38,9,1,100.0,1,female,0,19.0,0,0,6,10,5,12.5,0,2015,Dropout
single,43,1,9119,daytime,1.0,133.1,PT,1.0,1,9,3,136.0,0,female,0,31.0,0,0,5,12,1,12.0,0,2013,Dropout
single,1,1,9853,daytime,1.0,133.1,PT,19.0,19,9,8,132.0,0,male,0,21.0,0,0,6,8,5,12.0,0,2011,Dropout
single,43,1,9500,daytime,19.0,133.1,PT,34.0,34,0,0,110.0,0,female,0,27.0,0,0,7,7,0,0.0,6,2008,Dropout
single,39,1,9500,daytime,1.0,140.0,PT,37.0,37,9,6,132.8,0,female,0,35.0,0,0,7,10,4,12.6,0,2015,Dropout
single,17,3,9119,daytime,1.0,117.0,PT,1.0,2,3,2,119.8,0,female,0,19.0,0,0,5,10,2,11.0,0,2016,Dropout
single,42,1,9119,daytime,6.0,120.0,PT,35.0,35,6,6,128.2,0,female,0,34.0,0,4,6,8,4,11.25,0,2008,Dropout
single,17,5,9853,daytime,1.0,117.0,PT,38.0,38,9,7,114.6,0,male,0,19.0,0,0,6,11,4,13.25,0,2009,Dropout
single,1,5,9853,daytime,1.0,123.0,PT,1.0,12,4,9,113.2,0,male,0,20.0,0,0,6,12,4,12.0,0,2010,Dropout
single,1,1,9238,daytime,1.0,123.0,PT,34.0,38,0,7,120.2,0,male,0,20.0,0,0,6,9,5,11.8,0,2008,Dropout
single,1,2,9238,daytime,1.0,117.0,PT,19.0,1,9,8,110.0,1,male,0,18.0,0,0,6,0,0,0.0,0,2016,Dropout
single,43,2,9991,evening,1.0,140.0,PT,37.0,37,5,5,124.3,0,female,0,27.0,0,0,5,5,0,0.0,0,2011,Dropout
single,7,1,9070,daytime,3.0,133.1,PT,3.0,5,2,2,120.0,0,male,0,32.0,0,0,3,3,2,16.0,0,2008,Dropout
married,39,1,9147,daytime,1.0,140.0,PT,38.0,37,4,7,130.0,0,male,0,39.0,0,0,5,12,3,10.666666666666666,2,2009,Dropout
married,42,1,9853,daytime,1.0,133.1,PT,37.0,37,4,7,100.0,0,male,0,34.0,0,6,12,18,11,13.0,0,2011,Dropout
single,1,1,9670,daytime,1.0,133.1,PT,3.0,1,1,7,155.0,0,male,0,22.0,0,0,5,6,3,11.333333333333334,0,2009,Dropout
single,39,1,8014,evening,1.0,133.1,PT,19.0,37,7,8,120.0,1,male,0,31.0,0,0,6,14,2,10.5,0,2016,Dropout
single,17,2,9254,daytime,1.0,123.0,PT,19.0,19,5,5,113.2,1,male,0,19.0,0,0,6,10,6,12.166666666666666,0,2013,Dropout
married,39,1,9991,evening,1.0,133.1,PT,37.0,37,9,9,132.8,1,female,0,45.0,0,0,5,9,0,0.0,0,2015,Dropout
single,17,6,9556,daytime,1.0,122.0,PT,1.0,1,4,5,117.1,0,male,0,19.0,0,0,7,12,5,12.1,0,2014,Dropout
single,18,1,9147,daytime,1.0,147.0,PT,19.0,1,9,7,139.3,0,female,0,20.0,0,0,5,0,0,0.0,0,2015,Dropout
single,1,1,171,daytime,1.0,159.0,PT,3.0,3,2,2,165.7,0,female,0,18.0,0,0,0,0,0,0.0,0,2009,Dropout
single,43,1,9254,daytime,1.0,142.0,PT,38.0,38,9,9,125.9,0,male,1,19.0,0,0,6,0,0,0.0,0,2010,Dropout
single,17,1,9500,daytime,1.0,145.0,PT,1.0,1,4,10,131.4,0,male,0,19.0,0,0,7,7,7,13.44285714285714,0,2014,Dropout
single,44,1,9130,daytime,39.0,160.0,PT,1.0,37,3,3,160.0,1,male,0,36.0,0,2,6,9,6,12.0,0,2015,Dropout
single,17,1,9119,daytime,1.0,130.0,PT,1.0,3,4,2,123.0,0,female,0,18.0,0,0,5,10,1,10.0,0,2009,Dropout
single,17,1,9853,daytime,1.0,108.0,PT,19.0,1,5,5,107.3,0,male,0,20.0,0,0,6,0,0,0.0,0,2012,Dropout
single,17,2,9119,daytime,1.0,120.0,PT,10.0,12,9,9,120.4,0,female,0,20.0,0,0,5,6,3,11.0,0,2010,Dropout
single,17,2,9254,daytime,1.0,140.0,PT,3.0,3,2,2,124.3,0,female,0,18.0,0,0,6,9,5,11.2,0,2009,Dropout
single,39,1,9991,evening,1.0,133.1,PT,19.0,37,9,7,111.4,0,female,0,27.0,0,0,5,7,1,11.0,0,2014,Dropout
single,51,1,9670,daytime,1.0,136.0,PT,19.0,19,5,5,122.0,1,male,0,18.0,0,0,5,6,2,12.5,0,2009,Dropout
single,1,2,9085,daytime,1.0,125.0,PT,37.0,19,90,90,137.3,0,female,0,18.0,0,0,6,0,0,0.0,0,2008,Dropout
single,39,1,9670,daytime,1.0,133.1,PT,37.0,37,9,9,100.2,0,male,0,26.0,0,0,6,9,3,11.75,0,2013,Dropout
single,39,1,8014,evening,1.0,100.0,PT,12.0,5,9,4,116.5,1,male,0,37.0,0,0,6,6,0,0.0,0,2017,Dropout
single,7,1,9556,daytime,3.0,130.0,PT,1.0,37,4,8,130.0,0,female,0,23.0,0,3,7,7,3,13.666666666666666,0,2010,Dropout
single,17,1,9119,daytime,1.0,116.0,PT,19.0,37,90,5,116.7,0,female,0,21.0,0,0,5,10,1,10.0,0,2008,Dropout
single,17,3,9500,daytime,1.0,140.0,PT,3.0,2,3,3,126.4,0,male,0,18.0,0,0,7,7,7,13.884285714285712,0,2016,Dropout
single,1,1,9500,daytime,1.0,135.0,PT,19.0,19,4,5,126.8,0,female,0,20.0,0,0,7,9,0,0.0,0,2012,Dropout
single,39,1,8014,evening,1.0,133.1,PT,37.0,11,9,7,96.0,1,female,0,50.0,0,0,6,6,0,0.0,0,2015,Dropout
single,51,1,9773,daytime,1.0,158.0,PT,1.0,19,8,8,117.1,0,female,0,20.0,0,1,7,7,6,13.833333333333334,0,2017,Dropout
single,1,6,9773,daytime,1.0,133.1,PT,1.0,37,3,3,100.0,1,male,0,20.0,0,0,4,4,0,0.0,0,2015,Dropout
single,39,1,9130,daytime,19.0,133.1,PT,19.0,3,9,2,140.0,1,female,0,24.0,0,0,6,13,5,13.142857142857142,0,2013,Dropout
single,43,1,9500,daytime,1.0,120.0,PT,2.0,4,4,5,136.6,0,f,0,23.0,0,0,7,14,5,11.94,0,2014,Dropout
single,1,1,171,daytime,1.0,152.0,PT,1.0,38,4,9,160.4,0,male,0,19.0,0,0,0,0,0,0.0,0,2008,Dropout
single,44,1,9119,daytime,39.0,130.0,PT,19.0,3,3,4,130.0,1,female,0,23.0,0,0,5,5,0,0.0,0,2012,Dropout
single,39,2,9670,daytime,1.0,140.0,PT,34.0,34,0,0,97.0,0,male,0,28.0,0,0,5,5,0,0.0,0,2008,Dropout
single,1,1,171,daytime,1.0,133.1,PT,1.0,37,7,7,118.0,0,female,0,22.0,0,0,0,0,0,0.0,0,2016,Dropout
single,17,1,9119,daytime,1.0,130.0,PT,19.0,19,7,3,119.9,1,female,0,20.0,0,0,5,5,0,0.0,0,2009,Dropout
single,7,1,9119,daytime,3.0,120.0,PT,19.0,19,1,1,120.0,0,female,0,40.0,0,1,5,7,1,13.0,0,2011,Dropout
single,39,1,9147,daytime,1.0,120.0,PT,37.0,1,9,1,122.7,0,male,0,25.0,0,0,5,5,0,0.0,0,2010,Dropout
single,44,1,9070,daytime,39.0,120.0,PT,1.0,19,4,7,120.0,1,female,0,20.0,0,0,6,11,0,0.0,6,2013,Dropout
married,39,1,9991,evening,1.0,133.1,PT,37.0,37,9,9,126.5,0,male,0,27.0,0,0,5,5,2,10.5,0,2008,Dropout
single,17,4,9773,daytime,1.0,127.0,PT,2.0,37,9,9,115.8,1,male,0,19.0,0,0,6,6,0,0.0,0,2017,Dropout
single,17,1,9147,daytime,1.0,129.0,PT,38.0,37,3,5,132.9,0,male,0,19.0,0,0,5,5,3,11.666666666666666,0,2009,Dropout
single,39,2,9147,daytime,12.0,133.1,PT,19.0,38,9,9,120.0,1,female,0,28.0,0,0,5,5,0,0.0,0,2009,Dropout
single,43,1,9130,daytime,6.0,133.1,PT,1.0,29,4,90,123.3,0,male,1,21.0,0,0,5,7,0,0.0,0,2008,Dropout
single,17,2,9853,daytime,1.0,133.1,PT,37.0,37,5,0,111.5,0,male,0,18.0,0,0,6,11,3,12.333333333333334,0,2008,Dropout
single,17,5,9254,daytime,1.0,118.0,PT,19.0,37,5,5,120.5,0,female,0,19.0,0,0,6,12,4,12.5,0,2008,Dropout
single,1,1,9130,daytime,1.0,152.0,PT,2.0,22,4,3,146.1,0,male,0,18.0,0,0,5,8,4,13.5,2,2010,Dropout
single,43,3,171,daytime,1.0,140.0,PT,37.0,38,7,7,143.4,0,male,0,21.0,0,0,0,0,0,0.0,0,2009,Dropout
single,44,1,9130,daytime,39.0,130.0,PT,38.0,19,9,9,150.0,0,f,0,24.0,0,2,6,8,4,11.75,0,2016,Dropout
single,18,6,8014,evening,1.0,134.0,PT,3.0,19,2,4,120.7,0,male,0,23.0,0,0,6,8,4,11.0,0,2014,Dropout
single,44,1,9003,daytime,39.0,160.0,PT,37.0,37,9,7,160.0,0,f,0,30.0,0,4,9,18,6,11.833333333333334,0,2012,Dropout
single,7,3,9130,daytime,3.0,130.0,PT,37.0,26,90,10,130.0,0,female,0,41.0,0,0,5,9,0,0.0,4,2010,Dropout
single,17,2,9130,daytime,1.0,127.0,PT,3.0,1,2,1,116.5,0,male,0,19.0,0,0,6,0,0,0.0,0,2012,Dropout
single,44,1,9119,daytime,39.0,160.0,PT,3.0,38,2,3,160.0,1,female,0,24.0,0,2,6,6,2,16.0,0,2017,Dropout
single,1,3,9500,daytime,1.0,140.0,PT,37.0,37,9,9,141.5,1,male,0,19.0,0,0,8,8,7,13.327142857142857,0,2010,Dropout
single,39,1,9085,daytime,43.0,160.0,PT,3.0,39,2,3,172.0,0,male,0,26.0,0,0,6,0,0,0.0,0,2017,Dropout
single,43,1,9670,daytime,6.0,170.0,PT,34.0,34,0,0,111.6,0,female,0,35.0,0,1,5,5,1,14.0,0,2009,Dropout
single,17,1,9130,daytime,1.0,157.0,PT,3.0,2,3,6,150.9,0,male,0,18.0,0,0,6,8,6,15.0,0,2014,Dropout
married,39,1,9773,daytime,19.0,100.0,PT,37.0,37,0,0,163.5,1,female,0,50.0,0,0,6,7,1,15.0,0,2010,Dropout
single,7,1,8014,evening,4.0,120.0,PT,2.0,3,2,2,120.0,0,male,0,18.0,0,10,16,24,13,13.846153846153848,0,2012,Dropout
single,39,1,9238,daytime,19.0,133.1,PT,37.0,37,9,9,120.0,1,male,0,40.0,0,0,6,13,2,10.0,0,2013,Dropout
married,1,1,9991,evening,2.0,120.0,PT,19.0,37,6,3,129.2,0,male,0,31.0,0,4,10,16,5,11.4,0,2009,Dropout
single,17,2,171,daytime,1.0,130.0,BR,1.0,1,2,3,148.6,0,female,0,20.0,1,0,0,0,0,0.0,0,2016,Dropout
single,1,1,171,daytime,1.0,148.0,PT,3.0,2,4,2,131.6,0,male,0,21.0,0,6,12,12,8,13.875,0,2017,Dropout
single,39,1,9003,daytime,19.0,133.1,PT,37.0,37,9,9,130.0,0,male,0,44.0,0,0,6,10,1,12.0,0,2016,Dropout
single,1,1,9670,daytime,1.0,130.0,PT,1.0,1,0,0,119.5,0,female,0,19.0,0,0,5,5,0,0.0,0,2009,Dropout
single,17,3,9147,daytime,1.0,120.0,PT,19.0,19,4,7,115.5,1,female,0,18.0,0,0,5,8,3,10.333333333333334,0,2010,Dropout
single,1,1,9147,daytime,1.0,127.0,PT,19.0,19,5,5,129.8,0,male,0,22.0,0,0,5,8,3,10.333333333333334,0,2008,Dropout
single,43,1,9853,daytime,1.0,110.0,PT,37.0,37,9,9,107.7,1,male,0,28.0,0,0,6,0,0,0.0,0,2010,Dropout
single,17,3,9085,daytime,1.0,117.0,PT,19.0,38,5,7,111.1,0,male,0,21.0,0,0,6,0,0,0.0,0,2012,Dropout
single,42,1,9853,daytime,12.0,133.1,PT,19.0,3,3,2,133.7,0,male,0,28.0,0,14,18,23,14,12.785714285714286,2,2013,Dropout
single,7,1,8014,evening,40.0,120.0,PT,37.0,19,9,3,120.0,0,male,0,36.0,0,6,10,15,4,13.0,0,2017,Dropout
married,39,1,9991,evening,1.0,121.0,PT,37.0,19,9,9,141.4,1,female,0,29.0,0,0,5,7,4,11.25,0,2010,Dropout
single,39,1,9147,daytime,12.0,133.1,PT,19.0,37,7,9,118.2,0,male,0,31.0,0,0,5,8,1,13.0,2,2010,Dropout
single,39,1,9003,daytime,1.0,130.0,PT,19.0,19,9,9,120.0,0,male,0,25.0,0,0,6,6,0,0.0,0,2016,Dropout
single,39,1,9991,evening,19.0,133.1,PT,19.0,37,7,5,155.5,1,female,0,39.0,0,0,5,6,5,10.6,0,2010,Dropout
single,1,1,9130,daytime,1.0,136.0,PT,19.0,19,90,8,133.9,0,female,0,20.0,0,0,5,7,4,13.0,0,2010,Dropout
single,17,2,9670,daytime,1.0,132.0,PT,1.0,19,5,3,124.0,0,female,0,21.0,0,0,5,7,3,12.333333333333334,0,2008,Dropout
single,39,1,9500,daytime,19.0,133.1,PT,1.0,19,4,10,111.8,0,male,0,27.0,0,0,7,0,0,0.0,0,2016,Dropout
single,17,1,171,daytime,1.0,140.0,BR,1.0,1,5,7,146.3,0,male,1,18.0,1,0,0,0,0,0.0,0,2011,Dropout
married,7,1,9991,evening,3.0,140.0,PT,34.0,34,99,99,140.0,0,female,0,33.0,0,0,5,5,0,0.0,0,2008,Dropout
single,7,1,9991,evening,3.0,130.0,PT,19.0,19,3,9,130.0,0,female,0,32.0,0,0,5,12,4,14.75,0,2013,Dropout
single,44,1,9003,daytime,39.0,150.0,PT,1.0,38,6,6,150.0,0,female,0,21.0,0,0,6,12,4,11.8,0,2013,Dropout
single,43,1,9254,daytime,6.0,138.6,PT,34.0,34,0,0,138.6,0,female,0,20.0,0,0,6,10,4,11.5,0,2008,Dropout
married,39,1,9500,daytime,1.0,110.0,PT,37.0,37,9,6,114.3,0,male,0,41.0,0,0,7,0,0,0.0,0,2010,Dropout
married,43,1,9773,daytime,1.0,160.0,PT,37.0,37,5,0,160.0,1,female,0,51.0,0,0,4,4,0,0.0,0,2011,Dropout
single,1,5,171,daytime,1.0,160.0,PT,1.0,1,4,4,139.7,0,female,0,18.0,0,0,0,0,0,0.0,0,2011,Dropout
single,1,2,9070,daytime,1.0,134.0,PT,1.0,19,3,3,127.7,0,male,0,18.0,0,1,6,8,6,11.714285714285714,1,2014,Dropout
single,43,1,9991,evening,1.0,133.1,BR,37.0,37,9,8,114.7,0,male,0,34.0,1,2,2,2,2,10.5,0,2010,Dropout
single,43,1,9238,daytime,1.0,124.0,PT,1.0,1,3,1,118.8,1,male,0,22.0,0,6,10,16,6,11.833333333333334,0,2013,Dropout
divorced,7,1,9500,daytime,3.0,130.0,PT,3.0,19,2,3,130.0,0,male,0,43.0,0,0,7,7,3,13.833333333333334,1,2013,Dropout
single,17,2,9773,daytime,1.0,123.0,PT,1.0,1,3,3,120.9,0,male,0,18.0,0,0,6,0,0,0.0,0,2014,Dropout
married,39,1,9130,daytime,1.0,150.0,PT,19.0,19,4,4,130.0,0,female,0,31.0,0,0,4,12,2,11.0,2,2009,Dropout
single,39,1,9119,daytime,3.0,130.0,PT,1.0,38,90,90,143.4,0,female,0,29.0,0,0,3,3,0,0.0,3,2010,Dropout
single,1,6,9773,daytime,1.0,133.1,PT,1.0,1,90,90,129.6,0,male,0,22.0,0,0,6,0,0,0.0,0,2008,Dropout
married,39,1,8014,evening,19.0,133.1,PT,1.0,1,4,4,130.0,0,female,0,24.0,0,0,6,14,1,10.0,0,2013,Dropout
